,Určovatel,&,Pouzdro,&,Množství,&,Určení,\\\hline
,"C1,C5,C6,C7,C10,C11,C12,C13,C14",&,SMD-0805,&,9,&,100n,\\\hline
,"C2,C3,C4",&,Elko_vert_11.2x6.3mm_RM2.5,&,3,&,10u/50v,\\\hline
,"C8,C9",&,SMD-0805,&,2,&,150p,\\\hline
,IC1,&,SO-20-L,&,1,&,74F245,\\\hline
,IC2,&,SOT-23-5,&,1,&,74VHC1G132DTT1G,\\\hline
,L1,&,R3-LARGE_PADS,&,1,&,1u,\\\hline
,Q1,&,TO5,&,1,&,KF630D,\\\hline
,"R1,R2,R3,R4",&,R_1206,&,4,&,10k,\\\hline
,R5,&,R_1206,&,1,&,3k9,\\\hline
,"R6,R7,R13",&,R_1206,&,3,&,50R,\\\hline
,R8,&,R_1206,&,1,&,560R,\\\hline
,R9,&,R_1206,&,1,&,1k,\\\hline
,R10,&,R_1206,&,1,&,4R7,\\\hline
,R11,&,R_1206,&,1,&,12R,\\\hline
,R12,&,R_1206,&,1,&,3k3,\\\hline
,TR1,&,Amidon-T44-2,&,1,&,TRF11,\\\hline
,U1,&,SOT-223,&,1,&,LD1117S33CTR,\\\hline
,P3,&,MCX,&,1,&,DDS_OUT,\\\hline
,P1,&,vasch_strip_5x2_90,&,1,&,MLW10,\\\hline
,P2,&,vasch_strip_3x2_90,&,1,&,MLW6,\\\hline
,"M1,M2,M3,M4",&,M3,&,4,&,M3,\\\hline
,IC3,&,SSOP-28_5.3x10.2mm_Pitch0.65mm,&,1,&,AD9850BRS,\\\hline
,XTAL1,&,SMD7x5,&,1,&,CFPS,\\\hline
